"Age Standard for Survival (15-44,45-54,55-64,65-74,75+)","Year of diagnosis (2000-2005,2006-2020 by 5)","States V Others","Stomach Colon Others","Age-Adjusted Rate","Count","Population"
75+ years,2006-2010,Kentucky,Colorectal,259.6,3252,1247111
75+ years,2006-2010,Kentucky,Remaining values,71.3,898,1247111
75+ years,2006-2010,Louisiana,Stomach,49.3,598,1207891
75+ years,2006-2010,Louisiana,Colorectal,233.3,2824,1207891
75+ years,2006-2010,Louisiana,Remaining values,61.2,739,1207891
75+ years,2006-2010,New Jersey,Stomach,56.5,1637,2858676
75+ years,2006-2010,New Jersey,Colorectal,271.0,7873,2858676
75+ years,2006-2010,New Jersey,Remaining values,64.6,1891,2858676
75+ years,2006-2010,Remaining values,Stomach,^,^,0
75+ years,2006-2010,Remaining values,Colorectal,^,^,0
75+ years,2006-2010,Remaining values,Remaining values,^,^,0
75+ years,2011-2015,Connecticut,Stomach,51.2,648,1242231
75+ years,2011-2015,Connecticut,Colorectal,188.9,2416,1242231
75+ years,2011-2015,Connecticut,Remaining values,49.7,642,1242231
75+ years,2011-2015,Iowa,Stomach,30.8,354,1143541
75+ years,2011-2015,Iowa,Colorectal,233.5,2719,1143541
75+ years,2011-2015,Iowa,Remaining values,67.6,791,1143541
75+ years,2011-2015,New Mexico,Stomach,44.1,280,632310
75+ years,2011-2015,New Mexico,Colorectal,151.5,965,632310
75+ years,2011-2015,New Mexico,Remaining values,37.8,239,632310
75+ years,2011-2015,Utah,Stomach,27.8,165,592214
75+ years,2011-2015,Utah,Colorectal,131.9,791,592214
75+ years,2011-2015,Utah,Remaining values,44.1,264,592214
75+ years,2011-2015,Kentucky,Stomach,38.3,500,1310827
75+ years,2011-2015,Kentucky,Colorectal,224.3,2958,1310827
75+ years,2011-2015,Kentucky,Remaining values,60.0,788,1310827
75+ years,2011-2015,Louisiana,Stomach,42.7,548,1278830
75+ years,2011-2015,Louisiana,Colorectal,195.8,2511,1278830
75+ years,2011-2015,Louisiana,Remaining values,47.8,614,1278830
75+ years,2011-2015,New Jersey,Stomach,51.7,1547,2931524
75+ years,2011-2015,New Jersey,Colorectal,216.0,6479,2931524
75+ years,2011-2015,New Jersey,Remaining values,53.6,1607,2931524
75+ years,2011-2015,Remaining values,Stomach,^,^,0
75+ years,2011-2015,Remaining values,Colorectal,^,^,0
75+ years,2011-2015,Remaining values,Remaining values,^,^,0
75+ years,2016-2020,Connecticut,Stomach,44.0,568,1284454
75+ years,2016-2020,Connecticut,Colorectal,152.4,1996,1284454
75+ years,2016-2020,Connecticut,Remaining values,42.6,569,1284454
75+ years,2016-2020,Iowa,Stomach,24.2,281,1171474
75+ years,2016-2020,Iowa,Colorectal,193.2,2312,1171474
75+ years,2016-2020,Iowa,Remaining values,55.3,662,1171474
75+ years,2016-2020,New Mexico,Stomach,35.9,259,720795
75+ years,2016-2020,New Mexico,Colorectal,133.3,964,720795
75+ years,2016-2020,New Mexico,Remaining values,35.1,253,720795
75+ years,2016-2020,Utah,Stomach,30.1,205,681789
75+ years,2016-2020,Utah,Colorectal,108.1,740,681789
75+ years,2016-2020,Utah,Remaining values,36.4,250,681789
75+ years,2016-2020,Kentucky,Stomach,33.9,488,1434675
75+ years,2016-2020,Kentucky,Colorectal,192.9,2773,1434675
75+ years,2016-2020,Kentucky,Remaining values,50.4,725,1434675
75+ years,2016-2020,Louisiana,Stomach,37.3,528,1406703
75+ years,2016-2020,Louisiana,Colorectal,164.2,2312,1406703
75+ years,2016-2020,Louisiana,Remaining values,42.9,605,1406703
75+ years,2016-2020,New Jersey,Stomach,45.7,1439,3136971
75+ years,2016-2020,New Jersey,Colorectal,179.0,5706,3136971
75+ years,2016-2020,New Jersey,Remaining values,44.9,1439,3136971
75+ years,2016-2020,Remaining values,Stomach,^,^,0
75+ years,2016-2020,Remaining values,Colorectal,^,^,0
75+ years,2016-2020,Remaining values,Remaining values,^,^,0
